1. 2026-01-06T09:00:00+05:30 → 2026-01-06T09:50:00+05:30 | HSS F368 Lecture
2. 2026-01-06T11:00:00+05:30 → 2026-01-06T12:50:00+05:30 | CS F241 Practical
3. 2026-01-06T15:00:00+05:30 → 2026-01-06T15:50:00+05:30 | CS F212 Lecture
4. 2026-01-07T11:00:00+05:30 → 2026-01-07T11:50:00+05:30 | CS F211 Lecture
5. 2026-01-07T12:00:00+05:30 → 2026-01-07T12:50:00+05:30 | CS F241 Lecture
6. 2026-01-07T14:00:00+05:30 → 2026-01-07T14:50:00+05:30 | PHY F242 Tutorial
7. 2026-01-07T15:00:00+05:30 → 2026-01-07T15:50:00+05:30 | BITS F386 Lecture
8. 2026-01-07T16:00:00+05:30 → 2026-01-07T16:50:00+05:30 | PHY F242 Lecture
9. 2026-01-08T09:00:00+05:30 → 2026-01-08T09:50:00+05:30 | HSS F368 Lecture
10. 2026-01-08T11:00:00+05:30 → 2026-01-08T12:50:00+05:30 | CS F212 Practical
11. 2026-01-08T15:00:00+05:30 → 2026-01-08T15:50:00+05:30 | CS F212 Lecture
12. 2026-01-08T16:00:00+05:30 → 2026-01-08T16:50:00+05:30 | CS F241 Lecture
13. 2026-01-09T08:00:00+05:30 → 2026-01-09T08:50:00+05:30 | ECON F211 Tutorial
14. 2026-01-09T11:00:00+05:30 → 2026-01-09T11:50:00+05:30 | CS F211 Lecture
15. 2026-01-09T13:00:00+05:30 → 2026-01-09T14:50:00+05:30 | CS F211 Practical
16. 2026-01-09T15:00:00+05:30 → 2026-01-09T15:50:00+05:30 | BITS F386 Lecture
17. 2026-01-09T16:00:00+05:30 → 2026-01-09T16:50:00+05:30 | PHY F242 Lecture
18. 2026-01-09T17:00:00+05:30 → 2026-01-09T17:50:00+05:30 | HSS F368 Lecture
19. 2026-01-12T08:00:00+05:30 → 2026-01-12T08:50:00+05:30 | CS F241 Tutorial
20. 2026-01-12T11:00:00+05:30 → 2026-01-12T11:50:00+05:30 | CS F211 Lecture
21. 2026-01-12T12:00:00+05:30 → 2026-01-12T12:50:00+05:30 | CS F241 Lecture
22. 2026-01-12T15:00:00+05:30 → 2026-01-12T15:50:00+05:30 | BITS F386 Lecture
23. 2026-01-12T16:00:00+05:30 → 2026-01-12T16:50:00+05:30 | PHY F242 Lecture
24. 2026-01-12T17:00:00+05:30 → 2026-01-12T17:50:00+05:30 | CS F212 Lecture
25. 2026-01-13T09:00:00+05:30 → 2026-01-13T09:50:00+05:30 | HSS F368 Lecture
26. 2026-01-13T11:00:00+05:30 → 2026-01-13T12:50:00+05:30 | CS F241 Practical
27. 2026-01-13T15:00:00+05:30 → 2026-01-13T15:50:00+05:30 | CS F212 Lecture
28. 2026-01-14T11:00:00+05:30 → 2026-01-14T11:50:00+05:30 | CS F211 Lecture
29. 2026-01-14T12:00:00+05:30 → 2026-01-14T12:50:00+05:30 | CS F241 Lecture
30. 2026-01-14T14:00:00+05:30 → 2026-01-14T14:50:00+05:30 | PHY F242 Tutorial
31. 2026-01-14T15:00:00+05:30 → 2026-01-14T15:50:00+05:30 | BITS F386 Lecture
32. 2026-01-14T16:00:00+05:30 → 2026-01-14T16:50:00+05:30 | PHY F242 Lecture
33. 2026-01-15T09:00:00+05:30 → 2026-01-15T09:50:00+05:30 | HSS F368 Lecture
34. 2026-01-15T11:00:00+05:30 → 2026-01-15T12:50:00+05:30 | CS F212 Practical
35. 2026-01-15T15:00:00+05:30 → 2026-01-15T15:50:00+05:30 | CS F212 Lecture
36. 2026-01-15T16:00:00+05:30 → 2026-01-15T16:50:00+05:30 | CS F241 Lecture
37. 2026-01-16T08:00:00+05:30 → 2026-01-16T08:50:00+05:30 | ECON F211 Tutorial
38. 2026-01-16T11:00:00+05:30 → 2026-01-16T11:50:00+05:30 | CS F211 Lecture
39. 2026-01-16T13:00:00+05:30 → 2026-01-16T14:50:00+05:30 | CS F211 Practical
40. 2026-01-16T15:00:00+05:30 → 2026-01-16T15:50:00+05:30 | BITS F386 Lecture
41. 2026-01-16T16:00:00+05:30 → 2026-01-16T16:50:00+05:30 | PHY F242 Lecture
42. 2026-01-16T17:00:00+05:30 → 2026-01-16T17:50:00+05:30 | HSS F368 Lecture
43. 2026-01-19T08:00:00+05:30 → 2026-01-19T08:50:00+05:30 | CS F241 Tutorial
44. 2026-01-19T11:00:00+05:30 → 2026-01-19T11:50:00+05:30 | CS F211 Lecture
45. 2026-01-19T12:00:00+05:30 → 2026-01-19T12:50:00+05:30 | CS F241 Lecture
46. 2026-01-19T15:00:00+05:30 → 2026-01-19T15:50:00+05:30 | BITS F386 Lecture
47. 2026-01-19T16:00:00+05:30 → 2026-01-19T16:50:00+05:30 | PHY F242 Lecture
48. 2026-01-19T17:00:00+05:30 → 2026-01-19T17:50:00+05:30 | CS F212 Lecture
49. 2026-01-20T09:00:00+05:30 → 2026-01-20T09:50:00+05:30 | HSS F368 Lecture
50. 2026-01-20T11:00:00+05:30 → 2026-01-20T12:50:00+05:30 | CS F241 Practical
51. 2026-01-20T15:00:00+05:30 → 2026-01-20T15:50:00+05:30 | CS F212 Lecture
52. 2026-01-21T11:00:00+05:30 → 2026-01-21T11:50:00+05:30 | CS F211 Lecture
53. 2026-01-21T12:00:00+05:30 → 2026-01-21T12:50:00+05:30 | CS F241 Lecture
54. 2026-01-21T14:00:00+05:30 → 2026-01-21T14:50:00+05:30 | PHY F242 Tutorial
55. 2026-01-21T15:00:00+05:30 → 2026-01-21T15:50:00+05:30 | BITS F386 Lecture
56. 2026-01-21T16:00:00+05:30 → 2026-01-21T16:50:00+05:30 | PHY F242 Lecture
57. 2026-01-22T09:00:00+05:30 → 2026-01-22T09:50:00+05:30 | HSS F368 Lecture
58. 2026-01-22T11:00:00+05:30 → 2026-01-22T12:50:00+05:30 | CS F212 Practical
59. 2026-01-22T15:00:00+05:30 → 2026-01-22T15:50:00+05:30 | CS F212 Lecture
60. 2026-01-22T16:00:00+05:30 → 2026-01-22T16:50:00+05:30 | CS F241 Lecture
61. 2026-01-23T08:00:00+05:30 → 2026-01-23T08:50:00+05:30 | ECON F211 Tutorial
62. 2026-01-23T11:00:00+05:30 → 2026-01-23T11:50:00+05:30 | CS F211 Lecture
63. 2026-01-23T13:00:00+05:30 → 2026-01-23T14:50:00+05:30 | CS F211 Practical
64. 2026-01-23T15:00:00+05:30 → 2026-01-23T15:50:00+05:30 | BITS F386 Lecture
65. 2026-01-23T16:00:00+05:30 → 2026-01-23T16:50:00+05:30 | PHY F242 Lecture
66. 2026-01-23T17:00:00+05:30 → 2026-01-23T17:50:00+05:30 | HSS F368 Lecture
67. 2026-01-26T08:00:00+05:30 → 2026-01-26T08:50:00+05:30 | CS F241 Tutorial
68. 2026-01-26T11:00:00+05:30 → 2026-01-26T11:50:00+05:30 | CS F211 Lecture
69. 2026-01-26T12:00:00+05:30 → 2026-01-26T12:50:00+05:30 | CS F241 Lecture
70. 2026-01-26T15:00:00+05:30 → 2026-01-26T15:50:00+05:30 | BITS F386 Lecture
71. 2026-01-26T16:00:00+05:30 → 2026-01-26T16:50:00+05:30 | PHY F242 Lecture
72. 2026-01-26T17:00:00+05:30 → 2026-01-26T17:50:00+05:30 | CS F212 Lecture
73. 2026-01-27T09:00:00+05:30 → 2026-01-27T09:50:00+05:30 | HSS F368 Lecture
74. 2026-01-27T11:00:00+05:30 → 2026-01-27T12:50:00+05:30 | CS F241 Practical
75. 2026-01-27T15:00:00+05:30 → 2026-01-27T15:50:00+05:30 | CS F212 Lecture
76. 2026-01-28T11:00:00+05:30 → 2026-01-28T11:50:00+05:30 | CS F211 Lecture
77. 2026-01-28T12:00:00+05:30 → 2026-01-28T12:50:00+05:30 | CS F241 Lecture
78. 2026-01-28T14:00:00+05:30 → 2026-01-28T14:50:00+05:30 | PHY F242 Tutorial
79. 2026-01-28T15:00:00+05:30 → 2026-01-28T15:50:00+05:30 | BITS F386 Lecture
80. 2026-01-28T16:00:00+05:30 → 2026-01-28T16:50:00+05:30 | PHY F242 Lecture
81. 2026-01-29T09:00:00+05:30 → 2026-01-29T09:50:00+05:30 | HSS F368 Lecture
82. 2026-01-29T11:00:00+05:30 → 2026-01-29T12:50:00+05:30 | CS F212 Practical
83. 2026-01-29T15:00:00+05:30 → 2026-01-29T15:50:00+05:30 | CS F212 Lecture
84. 2026-01-29T16:00:00+05:30 → 2026-01-29T16:50:00+05:30 | CS F241 Lecture
85. 2026-01-30T08:00:00+05:30 → 2026-01-30T08:50:00+05:30 | ECON F211 Tutorial
86. 2026-01-30T11:00:00+05:30 → 2026-01-30T11:50:00+05:30 | CS F211 Lecture
87. 2026-01-30T13:00:00+05:30 → 2026-01-30T14:50:00+05:30 | CS F211 Practical
88. 2026-01-30T15:00:00+05:30 → 2026-01-30T15:50:00+05:30 | BITS F386 Lecture
89. 2026-01-30T16:00:00+05:30 → 2026-01-30T16:50:00+05:30 | PHY F242 Lecture
90. 2026-01-30T17:00:00+05:30 → 2026-01-30T17:50:00+05:30 | HSS F368 Lecture
91. 2026-02-02T08:00:00+05:30 → 2026-02-02T08:50:00+05:30 | CS F241 Tutorial
92. 2026-02-02T11:00:00+05:30 → 2026-02-02T11:50:00+05:30 | CS F211 Lecture
93. 2026-02-02T12:00:00+05:30 → 2026-02-02T12:50:00+05:30 | CS F241 Lecture
94. 2026-02-02T15:00:00+05:30 → 2026-02-02T15:50:00+05:30 | BITS F386 Lecture
95. 2026-02-02T16:00:00+05:30 → 2026-02-02T16:50:00+05:30 | PHY F242 Lecture
96. 2026-02-02T17:00:00+05:30 → 2026-02-02T17:50:00+05:30 | CS F212 Lecture
97. 2026-02-03T09:00:00+05:30 → 2026-02-03T09:50:00+05:30 | HSS F368 Lecture
98. 2026-02-03T11:00:00+05:30 → 2026-02-03T12:50:00+05:30 | CS F241 Practical
99. 2026-02-03T15:00:00+05:30 → 2026-02-03T15:50:00+05:30 | CS F212 Lecture
100. 2026-02-04T11:00:00+05:30 → 2026-02-04T11:50:00+05:30 | CS F211 Lecture
